id,category,color,label_text,name,shape
39b773da-cd75-4ee2-9b02-cf0538e449ad,cosmetics,#938b85,"head &
shoulders
anti-schuppen shampoo
shampooing antipelliculaire
daily protect
mit anti-mikrobiellem* effekt
bis zu 100% schuppen-schutz**
klinisch bestätigt",head & shoulders Anti-Schuppen Shampoo Daily Protect,"POLYGON((0.27476983506608305 -0.9420292904232624, 0.11556668728852798 -1, -0.07565013694429631 -1, -0.14659936584516323 -0.9870214829305811, -0.2781150096614043 -0.690246059276537, -0.3369509555791964 -0.44105853154369523, -0.3706951010320477 -0.18494912804049682, -0.3715603355308388 0.14210950210885787, -0.33089431408765896 0.4527286773036154, -0.27465407166624006 0.7373908183595352, -0.2114919532544927 0.90611154026198, -0.16823022831493975 0.9320685744008178, 0.029043237409421965 0.9337990433434069, 0.1951682611773055 0.9320685744008178, 0.2964006975358595 0.9173595883888098, 0.3301448429887109 0.8922677887212667, 0.3387971879766215 0.7408517562447136, 0.34744953296453207 0.6378888541606573, 0.33447101548266617 0.23728529395126263, 0.3059182770225612 -0.25157218233018025, 0.28861358704674 -0.7075507487024287, 0.2721741315697099 -0.9420292904232624, 0.27476983506608305 -0.9420292904232624))"
afe2c31d-ff86-44c2-9315-8c797a038df1,cosmetics,#938f89,"lavera
naturkosmetik
bio
pflegeshampoo
family
sanfte reinigung für haar &
kopfhaut dank unserer
naturkomposition mit
bio-apfel
bio-quinoa
alle haartypen
ohne silikone
93% recyclat
klimaneutral",lavera Naturkosmetik Pflegeshampoo Family,"POLYGON((0.1945777032410863 0.9720932447023696, 0.06463686975707758 0.998255827793898, -0.06443187759616598 1, -0.19350062494940953 0.9764536752176243, -0.20570983078012176 0.9555236087444016, -0.19175645268787922 0.931977283962026, -0.2030935723878263 0.9206401646223636, -0.20134940012629596 0.6197704590697863, -0.2885580132028118 0.5290735043524877, -0.2693721183259783 0.17675071871990433, -0.256290826364501 -0.24010643853844924, -0.24233744827225845 -0.6246964099839176, -0.22925615631078106 -0.8488225384680115, -0.22402363952619012 -0.9168452545059854, -0.1664659548956896 -0.956089129143278, -0.09408280604218139 -0.9744029373073481, 0.04196263035718344 -0.9691704206890424, 0.1474850521797677 -0.9552170430402274, 0.21986820103327592 -0.9072523073724249, 0.23992618204087457 -0.8880664131053042, 0.24603078495623068 -0.6918470399188408, 0.2503912156100565 -0.4703371697438996, 0.2599841630484732 -0.2060950805194623, 0.26172833531000356 -0.05522418469164805, 0.2713212827484203 0.17326237430770047, 0.27917005792530675 0.4462253245626475, 0.2817863163176022 0.5255851599402838, 0.19893813389491208 0.6206425451728372, 0.19544978937185145 0.9738374169084716, 0.1945777032410863 0.9720932447023696))"
75c1b404-27cc-45eb-ae15-f89075b72b38,cosmetics,#5b6f5c,"flaschenkörper aus
100% recyceltem plastik
garnier
fructis
aloe
hydra bomb
feuchtigkeits shampoo
aloe vera gel + glycerin
normales haar
mit feutigkeit versorgtes,
geschmeidiges & schwereloses haar
ohne silikone, für ein natürliches haargefühl",Garnier Fructis Aloe Hydra Bomb Feutigkeits Shampoo,"POLYGON((-0.38139873693428644 -0.9007662520038014, -0.3595089395821838 -0.9445458467080067, -0.2602751915859852 -0.9664356440601093, -0.15520416429589265 -0.9897847612356855, -0.018028100889382892 -1.0, 0.1439563995161765 -0.9868661215887384, 0.24319014751237505 -0.9562204052957948, 0.2986443008043684 -0.9226560493559041, 0.3059408999217359 -0.8730391753578048, 0.3132374990391035 -0.6016056881917323, 0.317615458509524 -0.4235686697279643, 0.33366797656773256 -0.061657353506534264, 0.3380459360381531 0.2360438904820614, 0.35117981444941465 0.527907855176763, 0.36577301268414975 0.6840550762884284, 0.36723233250762327 0.878144612810405, 0.3643136928606762 0.9598665229249215, 0.25486470610016315 0.9832156401004976, 0.14833435898659703 0.9832156401004976, -0.0194874207128564 0.9890529193943915, -0.13915164623768406 0.9919715590413386, -0.2310887951165151 0.984674959923971, -0.28362430876156136 0.978837680630077, -0.29529886734934946 0.9438140048667129, -0.305514106113664 0.7292939908161071, -0.31281070523103155 0.3965690710641473, -0.33470050258313416 -0.04560483544832568, -0.3507530206413427 -0.32579424155523923, -0.3638868990526043 -0.7767240670085532, -0.3799394171108129 -0.9007662520038014, -0.38139873693428644 -0.9007662520038014))"
4efe9eb9-abae-4858-aef1-d6e673f304fa,cosmetics,#89827a,"Rexona
MotionSense
cotton
dry
48H
anti-transpirant
0% alcohol",Recona MotionSense cotoon dry,"POLYGON((0.05319604433173144 0.991467006818198, -0.13879630225881526 0.8520947848487641, -0.21701540642533426 0.7013452386369274, -0.3037675037736553 0.43540028447076284, -0.352121131803867 -0.02111485075564805, -0.37772011134927325 -0.4008330473458404, -0.3606541249856691 -0.5416274348455746, -0.32936648331906143 -0.7250867882543192, -0.20706024771323175 -0.8729920034055552, -0.03213388748628933 -0.8872136587085585, 0.1285708174376497 -0.8573481825722514, 0.2693652049373839 -0.6753109946938071, 0.33051832274029874 -0.4833186481032603, 0.3575394678160053 -0.041025168179852835, 0.3404734814524013 0.37851366325874897, 0.2608322117555819 0.8080076534094534, 0.1925682663011653 0.9488020409091875, 0.04892954774083043 1, 0.05319604433173144 0.991467006818198))"
11de3259-d969-4c26-bccb-a798f4a70414,cosmetics,#a9a49c,"klinisch
ph wert
5,5
geprüft
seba med
fische
dusche
mit allantoin
deutsche
sporthilfe
service partner
für gesunde haut
medizinische hautpflege",Seba Med Frische Dusche Medizinische Hautpflege mit Allantoin,"POLYGON((-0.46595263485837124 -0.8162897852806589, -0.4027246145726931 -0.8769193918470136, -0.07532472870986646 -0.9297537632834086, 0.2191619411138401 -0.9089664696035156, 0.41404282555599886 -0.861328921587094, 0.45908196329374223 -0.8041638639673879, 0.4867983557477381 -0.40747300957609467, 0.5058533755598603 -0.0844038203010896, 0.5275068071645445 0.2551219764704976, 0.5413650033915425 0.5357504411490543, 0.5049872382956728 0.5851202636388004, 0.28498837319208037 0.705513339534848, 0.28325609866370566 0.9324412955403475, 0.28325609866370566 1.0, -0.26760720135946303 1.0, -0.2710717504162125 0.7202376725581056, -0.4157166735355037 0.6544112425717774, -0.5387081650501105 0.5565377348289474, -0.5265822433514873 0.2940981521202971, -0.5031965372184283 -0.07314403622448082, -0.48414151740630607 -0.4594412437758274, -0.4642203603299965 -0.8162897852806589, -0.46595263485837124 -0.8162897852806589))"
aa372ceb-aed2-4c9c-848e-6bbc4890bdcc,cosmetics,#93897e,"Rexona
Quick
Dry
48H
Deodorant
Flower Fresh
0% Aluminium
Salts
Extra Fresh",Rexona Quick Dry Flower Fresh,"POLYGON((-0.1348828178994507 -0.9151289617939963, -0.29026473757579646 -0.7316659722966241, -0.36889173307467016 -0.4283904182295398, -0.3576593051462597 0.06958055326332732, -0.3052413081470105 0.4383786035794732, -0.19478910018430692 0.831513581073842, -0.011326110686934862 1, 0.08227745538315304 0.9812792867859823, 0.19834587731006187 0.8970360773229035, 0.28258908677314076 0.6443064489336664, 0.33126294112958654 0.33167053825957304, 0.3462395117008006 -0.03151129809236745, 0.3668322962362199 -0.4377507748365486, 0.2975656573443548 -0.6661434760475626, 0.1534161655964197 -0.8589668221519438, -0.1348828178994507 -0.9076406765083891, -0.1348828178994507 -0.9151289617939963))"
d764de02-912f-4678-b679-cd130245f484,cosmetics,#b7aa9e,"mit aloe vera
dm
balea
after shave
pflege gel
sensitive
spendet 24h feuchtigkeit
wirkt der bildung
von rasierpickelchen
entgegen
beruhigt gereizte haut
empfindliche
haut",Balea After Shave Pflege Gel Sensitive,"POLYGON((-0.48009265007529917 0.9334293872986611, -0.4715603050298505 0.8037377426078418, -0.45449561493895324 0.6484490627806766, -0.4647344289934916 0.5562997362898313, -0.43913739385714573 0.2030606514082578, -0.4101274207026203 -0.09727789419153422, -0.38282391655718473 -0.3566611835731728, -0.36234628844810796 -0.5529051196184914, -0.30603281114814695 -0.8907859834182574, -0.2787293070027113 -0.9812288409000129, -0.22241582970275034 -1.0, -0.09272418501193105 -0.9965870619818206, 0.07962918490613141 -0.9795223718909233, 0.19566907752423288 -0.9522188677454876, 0.33901247428777 -0.9146765495455136, 0.4106841726695385 -0.8788407003546294, 0.47552999501494814 -0.8481242581910142, 0.5028334991603838 -0.8191142850364889, 0.4857688090694865 -0.5733827477275681, 0.46358471195132006 -0.2884024232095837, 0.4414006148331536 -0.05120323094611159, 0.3902065445604618 0.28667763285365444, 0.3663159784332056 0.4231951535808326, 0.33048012924232134 0.6092002755716129, 0.31853484617869327 0.6876978499897404, 0.29976368707870626 0.8702900339623412, 0.28099252797871926 0.9675587674804557, 0.18031085644242534 0.9914493336077118, 0.07450977787886223 0.9931558026168016, -0.07054008789376459 0.9880363955895324, -0.22582876772092977 0.9726781745077249, -0.38453038556627445 0.9607328914440968, -0.48009265007529917 0.94025526333502, -0.48009265007529917 0.9334293872986611))"
2a231d30-de4a-4670-a4ca-0e7da815d6d8,cosmetics,#a09c94,"100% 97%
recyceltes biologisch
plastik abbaubare
formel
gemäß oecd methoden
dove
reichhaltige
pflege
0% sulfat sles
mild zum hautmikrobiom
sofort weiche haut &
anhaltende pflege
hauteigene
pflegestoffe
pflegedusche",Dove Reichhaltige Pflege Pflegedusche,"POLYGON((-0.3658082581155064 -0.619516083871098, -0.29241146774550625 -0.845290986203867, -0.23736387496800626 -0.9146988183697711, -0.14641567820518006 -0.960970706480374, -0.002015471064201645 -0.9865000240586375, 0.15275602167253766 -0.9505994212142043, 0.2006234936529725 -0.8899672919658281, 0.30752751440927695 -0.6426520279263994, 0.3769353487809074 -0.35704278751957536, 0.39927350237177694 -0.11610985287471247, 0.39368896397405967 0.12801424646743345, 0.37135081038319007 0.40245441043376734, 0.3083253056089508 0.7088062213729307, 0.24928875683308124 0.929794376659775, 0.22774839444188558 0.9992022088256793, -0.16955162299572357 1.0, -0.25252190776181055 0.7494935712632883, -0.34745906052300635 0.3673515987636548, -0.3921353677047455 0.03547047024622783, -0.4033044445001803 -0.13525684105841013, -0.39373095010409337 -0.406505840327461, -0.3642126757161585 -0.619516083871098, -0.3658082581155064 -0.619516083871098))"
34d514ad-4c61-48af-bc1d-3cc962ab4841,cosmetics,#8a8678,"100% pflanzen
recyceltes basierte
plastik pflegestoffe
dove
men
+ care
clean comfort
feuchtigkeitsspendend
micromoisture
pflegedusche für
körper
und gesicht",Dove Men + Care Clean Comfort Pflegedusche,"POLYGON((-0.3430626705796327 -0.8353523217968819, -0.31669934953012707 -0.9322762931634262, -0.27405280077357386 -0.9741474487937732, 0.2663952807412912 -0.9787997994193675, 0.30283869513325484 -0.8880789622202819, 0.31602035565800757 -0.7888288155409408, 0.329977407978334 -0.4840998495645255, 0.33385436695620263 -0.15145677983454578, 0.34781141927652914 0.1555983614546665, 0.3671962141658714 0.4564503685764198, 0.3803778746906243 0.8061520572669115, 0.27802615767489663 0.9054022039462528, 0.09813526110179949 0.9829413810394882, 0.03377774206918283 1, -0.05306613903507096 1, -0.2236523340612837 0.9278885653032911, -0.33375796903274835 0.8170075420599644, -0.34383806237520637 0.7673824687202938, -0.34228727878405896 0.25484850813400783, -0.34461345417078004 -0.16463843994039565, -0.3546935475132381 -0.5158909121727521, -0.3453888459663538 -0.8314753629422201, -0.3430626705796327 -0.8353523217968819))"
c551626d-dc00-4c9a-886e-442bb07773fb,cosmetics,#8a7f73,"balea
men
fresh
shampoo
pflegt & kräftigt
entfernt wirksam
styling-rückstände
mit meeresmineralien",Balea Men Fresh Shampoo mit Meeresmineralien,"POLYGON((-0.3293490196435895 -0.9392610269806653, -0.21220957167772955 -0.9898768378301108, -0.025654154546915647 -1, 0.21296323945761378 -0.9754151775874121, 0.34311818164190255 -0.9392610269806653, 0.3836108303214591 -0.8987683783011087, 0.36191833995741096 -0.29860947822911044, 0.36191833995741096 0.2147794603866953, 0.34890284573898206 0.6529677657404676, 0.33154885344774354 0.9566626308371413, 0.21007090740907403 0.9783551212011895, -0.09217779166332991 0.9798012872254593, -0.2686100466242547 0.9653396269827605, -0.37707249844449536 0.9479856346915221, -0.3756263324202255 0.6862295842986746, -0.3756263324202255 0.3420420705224443, -0.3568261741047171 -0.13374655146234468, -0.3438106798862882 -0.5994120112772445, -0.3293490196435895 -0.9276916987865063, -0.3293490196435895 -0.9392610269806653))"
